STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BTN,Bhutan,WB_BOOST_EXP_FUNC_REV_CUS_EXC,"Recreation, culture and religion (COFOG 708)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,WB_BOOST_BUDGET_PARAM_1,Confirmation: Approved,_Z,Not Applicable,_Z,Not Applicable,2006,,WB_BOOST,BOOST: Open Budget Portal,0,Units,CUR,Currency,602,CCYY,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BIH,Bosnia and Herzegovina,WB_BOOST_EXP_FUNC_REV_CUS_EXC,"Recreation, culture and religion (COFOG 708)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,WB_BOOST_BUDGET_PARAM_1,Confirmation: Approved,_Z,Not Applicable,_Z,Not Applicable,2006,,WB_BOOST,BOOST: Open Budget Portal,0,Units,CUR,Currency,602,CCYY,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BWA,Botswana,WB_BOOST_EXP_FUNC_REV_CUS_EXC,"Recreation, culture and religion (COFOG 708)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,WB_BOOST_BUDGET_PARAM_1,Confirmation: Approved,_Z,Not Applicable,_Z,Not Applicable,2006,,WB_BOOST,BOOST: Open Budget Portal,0,Units,CUR,Currency,602,CCYY,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BRA,Brazil,WB_BOOST_EXP_FUNC_REV_CUS_EXC,"Recreation, culture and religion (COFOG 708)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,WB_BOOST_BUDGET_PARAM_1,Confirmation: Approved,_Z,Not Applicable,_Z,Not Applicable,2006,3960171161.02,WB_BOOST,BOOST: Open Budget Portal,0,Units,CUR,Currency,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BGR,Bulgaria,WB_BOOST_EXP_FUNC_REV_CUS_EXC,"Recreation, culture and religion (COFOG 708)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,WB_BOOST_BUDGET_PARAM_1,Confirmation: Approved,_Z,Not Applicable,_Z,Not Applicable,2006,418146836.0,WB_BOOST,BOOST: Open Budget Portal,0,Units,CUR,Currency,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BFA,Burkina Faso,WB_BOOST_EXP_FUNC_REV_CUS_EXC,"Recreation, culture and religion (COFOG 708)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,WB_BOOST_BUDGET_PARAM_1,Confirmation: Approved,_Z,Not Applicable,_Z,Not Applicable,2006,45224311000.0,WB_BOOST,BOOST: Open Budget Portal,0,Units,CUR,Currency,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BDI,Burundi,WB_BOOST_EXP_FUNC_REV_CUS_EXC,"Recreation, culture and religion (COFOG 708)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,WB_BOOST_BUDGET_PARAM_1,Confirmation: Approved,_Z,Not Applicable,_Z,Not Applicable,2006,,WB_BOOST,BOOST: Open Budget Portal,0,Units,CUR,Currency,602,CCYY,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CMR,Cameroon,WB_BOOST_EXP_FUNC_REV_CUS_EXC,"Recreation, culture and religion (COFOG 708)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,WB_BOOST_BUDGET_PARAM_1,Confirmation: Approved,_Z,Not Applicable,_Z,Not Applicable,2006,,WB_BOOST,BOOST: Open Budget Portal,0,Units,CUR,Currency,602,CCYY,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CPV,Cabo Verde,WB_BOOST_EXP_FUNC_REV_CUS_EXC,"Recreation, culture and religion (COFOG 708)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,WB_BOOST_BUDGET_PARAM_1,Confirmation: Approved,_Z,Not Applicable,_Z,Not Applicable,2006,,WB_BOOST,BOOST: Open Budget Portal,0,Units,CUR,Currency,602,CCYY,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CAF,Central African Republic,WB_BOOST_EXP_FUNC_REV_CUS_EXC,"Recreation, culture and religion (COFOG 708)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,WB_BOOST_BUDGET_PARAM_1,Confirmation: Approved,_Z,Not Applicable,_Z,Not Applicable,2006,,WB_BOOST,BOOST: Open Budget Portal,0,Units,CUR,Currency,602,CCYY,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CHL,Chile,WB_BOOST_EXP_FUNC_REV_CUS_EXC,"Recreation, culture and religion (COFOG 708)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,WB_BOOST_BUDGET_PARAM_1,Confirmation: Approved,_Z,Not Applicable,_Z,Not Applicable,2006,,WB_BOOST,BOOST: Open Budget Portal,0,Units,CUR,Currency,602,CCYY,O,Missing value,PU,Public
